Dataset	Epoch	Precision	Recall	F1	Accuracy
tacred:val	-1	0.7586206896551724	0.832807570977918	0.7939849624060151	0.7814465408805031
tacred:test	-1	0.7985611510791367	0.8604651162790697	0.8283582089552238	0.8143939393939394
unifiedQA:test	-1	0.9411764705882353	0.8727272727272727	0.9056603773584905	0.9
anchor:dummy	-1	0.3333333333333333	1.0	0.5	0.75
tacred:val	0	0.9331210191082803	0.9213836477987422	0.9272151898734177	0.9276729559748428
tacred:test	0	0.976	0.9312977099236641	0.953125	0.9507575757575758
unifiedQA:test	0	0.9181818181818182	0.9181818181818182	0.9181818181818182	0.91
anchor:dummy	0	0.19047619047619047	1.0	0.32	0.46875
tacred:val	1	0.9279279279279279	0.9716981132075472	0.9493087557603687	0.9481132075471698
tacred:test	1	0.9629629629629629	0.9848484848484849	0.9737827715355806	0.9734848484848485
unifiedQA:test	1	0.8974358974358975	0.9545454545454546	0.9251101321585904	0.915
anchor:dummy	1	0.18181818181818182	1.0	0.3076923076923077	0.4375
tacred:val	2	0.9281437125748503	0.9748427672955975	0.9509202453987731	0.949685534591195
tacred:test	2	0.9496402877697842	1.0	0.974169741697417	0.9734848484848485
unifiedQA:test	2	0.7328767123287672	0.9727272727272728	0.8359375000000001	0.79
anchor:dummy	2	0.14035087719298245	1.0	0.24615384615384614	0.234375
tacred:val	3	0.9538461538461539	0.9748427672955975	0.9642301710730948	0.9638364779874213
tacred:test	3	0.9496402877697842	1.0	0.974169741697417	0.9734848484848485
unifiedQA:test	3	0.859504132231405	0.9454545454545454	0.9004329004329004	0.885
anchor:dummy	3	0.15384615384615385	1.0	0.2666666666666667	0.3125
tacred:val	4	0.9327217125382263	0.9591194968553459	0.9457364341085271	0.9449685534591195
tacred:test	4	0.9626865671641791	0.9772727272727273	0.9699248120300752	0.9696969696969697
unifiedQA:test	4	0.7278911564625851	0.9727272727272728	0.8326848249027238	0.785
anchor:dummy	4	0.14814814814814814	1.0	0.25806451612903225	0.28125
tacred:val	5	0.9093567251461988	0.9779874213836478	0.9424242424242424	0.940251572327044
tacred:test	5	0.9230769230769231	1.0	0.9600000000000001	0.9583333333333334
unifiedQA:test	5	0.6687116564417178	0.990909090909091	0.7985347985347986	0.725
anchor:dummy	5	0.12698412698412698	1.0	0.22535211267605632	0.140625
tacred:val	6	0.9501557632398754	0.9591194968553459	0.9546165884194053	0.9544025157232704
tacred:test	6	0.9699248120300752	0.9772727272727273	0.9735849056603774	0.9734848484848485
unifiedQA:test	6	0.84375	0.9818181818181818	0.9075630252100839	0.89
anchor:dummy	6	0.1702127659574468	1.0	0.2909090909090909	0.390625
tacred:val	7	0.9703947368421053	0.9276729559748428	0.9485530546623795	0.949685534591195
tacred:test	7	0.9919354838709677	0.9318181818181818	0.9609375	0.9621212121212122
unifiedQA:test	7	0.8267716535433071	0.9545454545454546	0.8860759493670887	0.865
anchor:dummy	7	0.3333333333333333	1.0	0.5	0.75
tacred:val	8	0.952076677316294	0.9371069182389937	0.9445324881141045	0.9449685534591195
tacred:test	8	0.9844961240310077	0.9621212121212122	0.9731800766283525	0.9734848484848485
unifiedQA:test	8	0.7956204379562044	0.990909090909091	0.8825910931174089	0.855
anchor:dummy	8	0.2222222222222222	1.0	0.3636363636363636	0.5625
tacred:val	9	0.9577922077922078	0.9276729559748428	0.9424920127795526	0.9433962264150944
tacred:test	9	0.9921259842519685	0.9545454545454546	0.9729729729729729	0.9734848484848485
unifiedQA:test	9	0.816793893129771	0.9727272727272728	0.8879668049792532	0.865
anchor:dummy	9	0.26666666666666666	1.0	0.4210526315789474	0.65625
tacred:val	10	0.9623824451410659	0.9654088050314465	0.9638932496075353	0.9638364779874213
tacred:test	10	0.9696969696969697	0.9696969696969697	0.9696969696969697	0.9696969696969697
unifiedQA:test	10	0.6264367816091954	0.990909090909091	0.7676056338028169	0.67
anchor:dummy	10	0.13333333333333333	1.0	0.23529411764705882	0.1875
tacred:val	11	0.9777070063694268	0.9654088050314465	0.9715189873417721	0.9716981132075472
tacred:test	11	0.9769230769230769	0.9621212121212122	0.9694656488549619	0.9696969696969697
