Run configurations: model=allenai/unifiedqa-v2-t5-base-1251000 train=./data/unifiedQA/train_direct_2000.json eval=./data/unifiedQA/test.json train_batch=8 eval_batch=16 epochs=20
Dataset	Epoch	Precision	Recall	F1	Accuracy
train	-1	0.6441808747220164	0.869	0.7398893146019583	0.6945
eval	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
train	0	0.9172346640701071	0.942	0.9294523926985693	0.9285
eval	0	0.9380530973451328	0.9636363636363636	0.9506726457399104	0.945
train	1	0.9548511047070125	0.994	0.9740323370896619	0.9735
eval	1	0.9051724137931034	0.9545454545454546	0.9292035398230089	0.92
train	2	0.996938775510204	0.977	0.9868686868686869	0.987
eval	2	0.9230769230769231	0.8727272727272727	0.897196261682243	0.89
train	3	1.0	0.998	0.998998998998999	0.999
eval	3	0.908256880733945	0.9	0.9041095890410958	0.895
train	4	1.0	0.996	0.9979959919839679	0.998
eval	4	0.9074074074074074	0.8909090909090909	0.8990825688073394	0.89
train	5	0.998001998001998	0.999	0.9985007496251873	0.9985
eval	5	0.9203539823008849	0.9454545454545454	0.9327354260089686	0.925
train	6	1.0	0.999	0.9994997498749374	0.9995
eval	6	0.918918918918919	0.9272727272727272	0.9230769230769231	0.915
train	7	0.9940179461615155	0.997	0.9955067398901647	0.9955
eval	7	0.9210526315789473	0.9545454545454546	0.9375	0.93
train	8	0.9919839679358717	0.99	0.990990990990991	0.991
eval	8	0.9203539823008849	0.9454545454545454	0.9327354260089686	0.925
train	9	0.9726295210166178	0.995	0.9836875926841324	0.9835
eval	9	0.8188976377952756	0.9454545454545454	0.8776371308016877	0.855
train	10	0.9979899497487437	0.993	0.9954887218045113	0.9955
eval	10	0.873015873015873	1.0	0.9322033898305084	0.92
train	11	0.9910358565737052	0.995	0.9930139720558884	0.993
eval	11	0.856	0.9727272727272728	0.9106382978723404	0.895
train	12	1.0	0.997	0.99849774661993	0.9985
eval	12	0.9074074074074074	0.8909090909090909	0.8990825688073394	0.89
train	13	1.0	0.994	0.9969909729187563	0.997
eval	13	0.9142857142857143	0.8727272727272727	0.8930232558139534	0.885
train	14	0.9939698492462311	0.989	0.9914786967418546	0.9915
eval	14	0.8648648648648649	0.8727272727272727	0.8687782805429864	0.855
train	15	1.0	0.995	0.9974937343358395	0.9975
eval	15	0.9122807017543859	0.9454545454545454	0.9285714285714285	0.92
train	16	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	16	0.8760330578512396	0.9636363636363636	0.9177489177489176	0.905
train	17	1.0	0.999	0.9994997498749374	0.9985
eval	17	0.8688524590163934	0.9636363636363636	0.9137931034482758	0.9
train	18	1.0	0.998	0.998998998998999	0.999
eval	18	0.8706896551724138	0.9181818181818182	0.8938053097345132	0.88
train	19	1.0	0.999	0.9994997498749374	0.9995
eval	19	0.8695652173913043	0.9090909090909091	0.888888888888889	0.875
