Run configurations: model=allenai/unifiedqa-v2-t5-base-1251000 train=./data/unifiedQA/train_all_2000.json eval=./data/unifiedQA/test.json train_batch=8 eval_batch=16 epochs=20
Dataset	Epoch	Precision	Recall	F1	Accuracy
train	-1	0.6117729502452698	0.873	0.719406674907293	0.6575
eval	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
train	0	0.9236947791164659	0.92	0.9218436873747495	0.922
eval	0	0.9351851851851852	0.9181818181818182	0.9266055045871558	0.92
train	1	0.9887179487179487	0.964	0.9762025316455696	0.9765
eval	1	0.9029126213592233	0.8454545454545455	0.8732394366197184	0.865
train	2	0.9969727547931383	0.988	0.9924660974384732	0.992
eval	2	0.9081632653061225	0.8090909090909091	0.8557692307692307	0.85
train	3	0.9940119760479041	0.996	0.995004995004995	0.995
eval	3	0.9150943396226415	0.8818181818181818	0.8981481481481483	0.89
train	4	0.9940119760479041	0.996	0.995004995004995	0.995
eval	4	0.908256880733945	0.9	0.9041095890410958	0.895
train	5	0.9959183673469387	0.976	0.9858585858585859	0.986
eval	5	0.95	0.8636363636363636	0.9047619047619048	0.9
train	6	0.9717073170731707	0.996	0.9837037037037037	0.9835
eval	6	0.9130434782608695	0.9545454545454546	0.9333333333333332	0.925
train	7	0.9890873015873016	0.997	0.993027888446215	0.993
eval	7	0.859504132231405	0.9454545454545454	0.9004329004329004	0.885
train	8	0.9930417495029821	0.999	0.9960119641076769	0.996
eval	8	0.853448275862069	0.9	0.8761061946902655	0.86
train	9	0.9989816700610998	0.981	0.9899091826437941	0.99
eval	9	0.883495145631068	0.8272727272727273	0.8544600938967137	0.845
train	10	0.9623915139826422	0.998	0.9798723613156602	0.9795
eval	10	0.8203125	0.9545454545454546	0.8823529411764707	0.86
train	11	1.0	0.987	0.9934574735782586	0.9935
eval	11	0.8811881188118812	0.8090909090909091	0.8436018957345973	0.835
train	12	0.9930417495029821	0.999	0.9960119641076769	0.996
eval	12	0.8974358974358975	0.9545454545454546	0.9251101321585904	0.915
train	13	0.9989949748743718	0.994	0.9964912280701754	0.9965
eval	13	0.9393939393939394	0.8454545454545455	0.8899521531100478	0.885
train	14	0.995	0.995	0.995	0.995
eval	14	0.9009009009009009	0.9090909090909091	0.9049773755656109	0.895
train	15	0.9950099800399201	0.997	0.9960039960039959	0.996
eval	15	0.9065420560747663	0.8818181818181818	0.8940092165898617	0.885
train	16	0.9960159362549801	1.0	0.998003992015968	0.998
eval	16	0.8487394957983193	0.9181818181818182	0.8820960698689957	0.865
train	17	0.8620689655172413	1.0	0.9259259259259259	0.92
eval	17	0.7142857142857143	1.0	0.8333333333333333	0.78
train	18	0.9948770491803278	0.971	0.9827935222672065	0.983
eval	18	0.9278350515463918	0.8181818181818182	0.8695652173913045	0.865
train	19	0.9927909371781668	0.964	0.9781836631151699	0.9785
eval	19	0.8737864077669902	0.8181818181818182	0.8450704225352113	0.835
