Run configurations: model=allenai/unifiedqa-v2-t5-base-1251000 train=./data/unifiedQA/train_direct_2000.json eval=./data/unifiedQA/test.json train_batch=16 eval_batch=16 epochs=20
Dataset	Epoch	Precision	Recall	F1	Accuracy
train	-1	0.6441808747220164	0.869	0.7398893146019583	0.6945
eval	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
train	0	0.8519195612431444	0.932	0.8901623686723974	0.885
eval	0	0.9464285714285714	0.9636363636363636	0.9549549549549549	0.95
train	1	0.9270142180094787	0.978	0.9518248175182482	0.9505
eval	1	0.9292035398230089	0.9545454545454546	0.9417040358744395	0.935
train	2	0.9717624148003895	0.998	0.9847064627528367	0.9845
eval	2	0.9210526315789473	0.9545454545454546	0.9375	0.93
train	3	1.0	0.993	0.9964877069744105	0.9965
eval	3	0.9369369369369369	0.9454545454545454	0.9411764705882352	0.935
train	4	0.9979899497487437	0.993	0.9954887218045113	0.9955
eval	4	0.9326923076923077	0.8818181818181818	0.9065420560747663	0.9
train	5	0.998	0.998	0.998	0.998
eval	5	0.9217391304347826	0.9636363636363636	0.9422222222222223	0.935
train	6	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	6	0.926605504587156	0.9181818181818182	0.9223744292237444	0.915
train	7	0.999	0.999	0.999	0.999
eval	7	0.9292035398230089	0.9545454545454546	0.9417040358744395	0.935
train	8	1.0	0.985	0.9924433249370278	0.9925
eval	8	0.9313725490196079	0.8636363636363636	0.8962264150943398	0.89
train	9	0.9969758064516129	0.989	0.9929718875502007	0.993
eval	9	0.9333333333333333	0.8909090909090909	0.9116279069767442	0.905
train	10	0.9989909182643795	0.99	0.9944751381215471	0.9945
eval	10	0.918918918918919	0.9272727272727272	0.9230769230769231	0.915
train	11	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	11	0.9259259259259259	0.9090909090909091	0.9174311926605504	0.91
train	12	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	12	0.9259259259259259	0.9090909090909091	0.9174311926605504	0.91
train	13	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	13	0.9272727272727272	0.9272727272727272	0.9272727272727272	0.92
train	14	1.0	0.999	0.9994997498749374	0.9995
eval	14	0.9245283018867925	0.8909090909090909	0.9074074074074073	0.9
train	15	1.0	0.999	0.9994997498749374	0.9995
eval	15	0.9245283018867925	0.8909090909090909	0.9074074074074073	0.9
train	16	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	16	0.9272727272727272	0.9272727272727272	0.9272727272727272	0.92
train	17	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	17	0.918918918918919	0.9272727272727272	0.9230769230769231	0.915
train	18	1.0	0.999	0.9994997498749374	0.9995
eval	18	0.9245283018867925	0.8909090909090909	0.9074074074074073	0.9
train	19	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	19	0.9272727272727272	0.9272727272727272	0.9272727272727272	0.92
