Run configurations: model=allenai/unifiedqa-v2-t5-base-1251000 train=./data/unifiedQA/train_indirect_neg_2000.json eval=./data/unifiedQA/test.json train_batch=8 eval_batch=16 epochs=20
Dataset	Epoch	Precision	Recall	F1	Accuracy
train	-1	0.6111111111111112	0.858	0.713810316139767	0.655
eval	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
train	0	0.959051724137931	0.89	0.9232365145228215	0.926
eval	0	0.9444444444444444	0.9272727272727272	0.9357798165137615	0.93
train	1	1.0	0.839	0.9124524197933659	0.9195
eval	1	0.9863013698630136	0.6545454545454545	0.7868852459016393	0.805
train	2	0.9900695134061569	0.997	0.9935226706527155	0.9935
eval	2	0.8571428571428571	0.9272727272727272	0.890829694323144	0.875
train	3	0.9989806320081549	0.98	0.989399293286219	0.9895
eval	3	0.9375	0.8181818181818182	0.8737864077669902	0.87
train	4	0.9930348258706467	0.998	0.9955112219451371	0.9955
eval	4	0.8617886178861789	0.9636363636363636	0.9098712446351931	0.895
train	5	0.997	0.997	0.997	0.997
eval	5	0.8677685950413223	0.9545454545454546	0.9090909090909091	0.895
train	6	0.9979939819458375	0.995	0.9964947421131698	0.9965
eval	6	0.8727272727272727	0.8727272727272727	0.8727272727272727	0.86
train	7	0.998997995991984	0.997	0.997997997997998	0.998
eval	7	0.8833333333333333	0.9636363636363636	0.9217391304347826	0.91
train	8	0.998003992015968	1.0	0.9990009990009989	0.999
eval	8	0.8360655737704918	0.9272727272727272	0.8793103448275862	0.86
train	9	0.998003992015968	1.0	0.9990009990009989	0.999
eval	9	0.8512396694214877	0.9363636363636364	0.8917748917748918	0.875
train	10	0.9929859719438878	0.991	0.9919919919919921	0.992
eval	10	0.8706896551724138	0.9181818181818182	0.8938053097345132	0.88
train	11	1.0	0.9120323559150657	0.9539925965097831	0.951
eval	11	0.9157894736842105	0.7909090909090909	0.8487804878048781	0.845
train	12	0.9920556107249255	0.999	0.9955156950672646	0.9955
eval	12	0.8650793650793651	0.990909090909091	0.9237288135593221	0.91
train	13	0.997002997002997	0.998	0.9975012493753124	0.9975
eval	13	0.8267716535433071	0.9545454545454546	0.8860759493670887	0.865
train	14	0.997	0.997	0.997	0.997
eval	14	0.8629032258064516	0.9727272727272728	0.9145299145299146	0.9
train	15	0.998	0.998	0.998	0.998
eval	15	0.8225806451612904	0.9272727272727272	0.8717948717948718	0.85
train	16	0.9642166344294004	0.997	0.9803343166175025	0.98
eval	16	0.8120300751879699	0.9818181818181818	0.8888888888888888	0.865
train	17	0.9989847715736041	0.984	0.9914357682619647	0.9915
eval	17	0.8403361344537815	0.9090909090909091	0.8733624454148471	0.855
train	18	0.9940239043824701	0.998	0.9960079840319361	0.996
eval	18	0.8320610687022901	0.990909090909091	0.9045643153526971	0.885
train	19	0.9939879759519038	0.992	0.9929929929929929	0.993
eval	19	0.7894736842105263	0.9545454545454546	0.8641975308641975	0.835
