Run configurations: model=allenai/unifiedqa-v2-t5-base-1251000 train=./data/unifiedQA/train_scr83_direct_1108.json eval=./data/unifiedQA/test.json train_batch=16 eval_batch=16 epochs=20
Dataset	Epoch	Precision	Recall	F1	Accuracy
train	-1	0.5720572057205721	0.9386281588447654	0.7108680792891319	0.618231046931408
eval	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
train	0	0.7089201877934272	0.8176895306859205	0.7594300083822296	0.7409747292418772
eval	0	1.0	0.6545454545454545	0.7912087912087912	0.81
train	1	0.8140625	0.9404332129963899	0.8726968174204356	0.8628158844765343
eval	1	0.9850746268656716	0.6	0.7457627118644069	0.775
train	2	0.9848484848484849	0.9386281588447654	0.9611829944547136	0.9620938628158845
eval	2	1.0	0.2545454545454545	0.4057971014492754	0.59
train	3	0.9805309734513274	1.0	0.9901697944593387	0.990072202166065
eval	3	0.96	0.6545454545454545	0.7783783783783784	0.795
train	4	0.9981718464351006	0.9855595667870036	0.9918256130790191	0.9918772563176895
eval	4	1.0	0.17272727272727273	0.2945736434108527	0.545
train	5	1.0	1.0	1.0	1.0
eval	5	0.9523809523809523	0.36363636363636365	0.5263157894736843	0.64
train	6	0.9981981981981982	1.0	0.9990982867448152	0.9990974729241877
eval	6	0.9649122807017544	0.5	0.658682634730539	0.715
train	7	1.0	0.9981949458483754	0.999096657633243	0.9990974729241877
eval	7	0.9583333333333334	0.41818181818181815	0.5822784810126582	0.67
train	8	0.9946140035906643	1.0	0.9972997299729973	0.9972924187725631
eval	8	0.9642857142857143	0.4909090909090909	0.6506024096385543	0.71
train	9	0.9770723104056437	1.0	0.9884032114183765	0.9882671480144405
eval	9	0.9726027397260274	0.6454545454545455	0.7759562841530055	0.795
train	10	1.0	1.0	1.0	1.0
eval	10	0.95	0.34545454545454546	0.5066666666666667	0.63
train	11	1.0	1.0	1.0	1.0
eval	11	0.9487179487179487	0.33636363636363636	0.4966442953020134	0.625
train	12	1.0	1.0	1.0	1.0
eval	12	0.9473684210526315	0.32727272727272727	0.48648648648648646	0.62
train	13	1.0	1.0	1.0	1.0
eval	13	0.9473684210526315	0.32727272727272727	0.48648648648648646	0.62
train	14	1.0	1.0	1.0	1.0
eval	14	0.9428571428571428	0.3	0.45517241379310347	0.605
train	15	1.0	1.0	1.0	1.0
eval	15	0.9375	0.2727272727272727	0.4225352112676056	0.59
train	16	1.0	1.0	1.0	1.0
eval	16	0.9333333333333333	0.2545454545454545	0.3999999999999999	0.58
train	17	1.0	1.0	1.0	1.0
eval	17	0.9130434782608695	0.19090909090909092	0.3157894736842105	0.545
train	18	1.0	1.0	1.0	1.0
eval	18	0.9130434782608695	0.19090909090909092	0.3157894736842105	0.545
train	19	1.0	1.0	1.0	1.0
eval	19	0.9130434782608695	0.19090909090909092	0.3157894736842105	0.545
