Run configurations: model=allenai/unifiedqa-v2-t5-small-1251000 train=./data/unifiedQA/train_direct_2000.json eval=./data/unifiedQA/test.json train_batch=8 eval_batch=16 epochs=20
Dataset	Epoch	Precision	Recall	F1	Accuracy
train	-1	0.6683748169838946	0.913913913913914	0.7720930232558139	0.724
eval	-1	0.6858974358974359	0.9727272727272728	0.8045112781954887	0.74
train	0	0.8446601941747572	0.957	0.8973277074542897	0.8905
eval	0	0.905982905982906	0.9636363636363636	0.9339207048458149	0.925
train	1	0.9565637065637066	0.991	0.9734774066797642	0.973
eval	1	0.8916666666666667	0.9727272727272728	0.9304347826086957	0.92
train	2	0.9969849246231156	0.992	0.9944862155388471	0.9945
eval	2	0.9072164948453608	0.8	0.8502415458937198	0.845
train	3	0.9950199203187251	0.999	0.9970059880239521	0.997
eval	3	0.8842975206611571	0.9727272727272728	0.9264069264069266	0.915
train	4	0.9989888776541962	0.988	0.9934640522875817	0.9935
eval	4	0.9340659340659341	0.7727272727272727	0.845771144278607	0.845
train	5	0.9989888776541962	0.988	0.9934640522875817	0.9935
eval	5	0.9354838709677419	0.7909090909090909	0.8571428571428572	0.855
train	6	1.0	0.999	0.9994997498749374	0.9995
eval	6	0.865546218487395	0.9363636363636364	0.8995633187772926	0.885
train	7	0.9978448275862069	0.463	0.6325136612021858	0.731
eval	7	0.9666666666666667	0.2636363636363636	0.41428571428571426	0.59
train	8	0.9939879759519038	0.992	0.9929929929929929	0.993
eval	8	0.8467741935483871	0.9545454545454546	0.8974358974358976	0.88
train	9	1.0	0.944	0.9711934156378601	0.972
eval	9	0.9294117647058824	0.7181818181818181	0.8102564102564103	0.815
train	10	0.996996996996997	0.996	0.9964982491245623	0.9965
eval	10	0.896551724137931	0.9454545454545454	0.920353982300885	0.91
train	11	1.0	0.985	0.9924433249370278	0.9925
eval	11	0.9130434782608695	0.7636363636363637	0.8316831683168316	0.83
train	12	0.9793915603532876	0.998	0.9886082218920257	0.9885
eval	12	0.8359375	0.9727272727272728	0.8991596638655464	0.88
train	13	0.9755859375	0.999	0.9871541501976284	0.987
eval	13	0.8088235294117647	1.0	0.8943089430894309	0.87
train	14	1.0	0.996	0.9979959919839679	0.998
eval	14	0.9051724137931034	0.9545454545454546	0.9292035398230089	0.92
train	15	0.998	0.998	0.998	0.998
eval	15	0.8515625	0.990909090909091	0.9159663865546219	0.9
train	16	0.998	0.998	0.998	0.998
eval	16	0.8823529411764706	0.9545454545454546	0.9170305676855895	0.905
train	17	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	17	0.8074074074074075	0.990909090909091	0.889795918367347	0.865
train	18	0.9960079840319361	0.998	0.997002997002997	0.997
eval	18	0.872	0.990909090909091	0.9276595744680851	0.915
train	19	0.998998998998999	0.998	0.9984992496248123	0.9985
eval	19	0.8859649122807017	0.9181818181818182	0.9017857142857142	0.89
