Run configurations: model=allenai/unifiedqa-v2-t5-large-1251000 train=./data/unifiedQA/train_direct_4000.json eval=./data/unifiedQA/test.json train_batch=4 eval_batch=8 epochs=30
Dataset	Epoch	Precision	Recall	F1	Accuracy
train	-1	0.7644159684573681	0.7755	0.7699180938198062	0.76825
eval	-1	0.9411764705882353	0.8571428571428571	0.897196261682243	0.89
train	0	0.9309039280643635	0.9835	0.9564794553853635	0.95525
eval	0	0.8677685950413223	0.9375	0.9012875536480687	0.885
train	1	0.9290413533834586	0.9885	0.9578488372093023	0.9555
eval	1	0.8898305084745762	0.9375	0.9130434782608696	0.9
train	2	0.9338649155722326	0.9955	0.9636979670861567	0.9625
eval	2	0.8188976377952756	0.9285714285714286	0.8702928870292886	0.845
train	3	0.9779086892488954	0.996	0.9868714391875154	0.98675
eval	3	0.8938053097345132	0.9017857142857143	0.8977777777777778	0.885
train	4	0.9888776541961577	0.978	0.9834087481146304	0.9835
eval	4	0.8785046728971962	0.8392857142857143	0.8584474885844748	0.845
train	5	0.9226851851851852	0.9965	0.958173076923077	0.9565
eval	5	0.8461538461538461	0.9821428571428571	0.9090909090909091	0.89
train	6	0.7780876494023904	0.9765	0.8660753880266074	0.849
eval	6	0.7426470588235294	0.9017857142857143	0.814516129032258	0.77
train	7	0.983991995997999	0.9835	0.9837459364841211	0.98375
eval	7	0.8347107438016529	0.9017857142857143	0.8669527896995709	0.845
train	8	0.9453681710213777	0.995	0.9695493300852619	0.96875
eval	8	0.8120300751879699	0.9642857142857143	0.8816326530612245	0.855
train	9	0.9812468322351748	0.968	0.9745784042285427	0.97475
eval	9	0.8256880733944955	0.8035714285714286	0.8144796380090498	0.795
train	10	0.9867279224093926	0.9665	0.9765092194998738	0.97675
eval	10	0.7545454545454545	0.7410714285714286	0.7477477477477477	0.72
train	11	0.9158576051779935	0.9905	0.9517175114100409	0.94975
eval	11	0.5892857142857143	0.8839285714285714	0.7071428571428572	0.59
train	12	0.9491203043271517	0.998	0.9729466244211552	0.97225
eval	12	0.5975609756097561	0.875	0.7101449275362318	0.6
train	13	0.9930139720558883	0.995	0.994005994005994	0.994
eval	13	0.6106870229007634	0.7142857142857143	0.6584362139917695	0.585
train	14	0.9974836436839456	0.991	0.9942312515675946	0.99425
eval	14	0.6115702479338843	0.6607142857142857	0.6351931330472103	0.575
train	15	0.993529118964659	0.998	0.9957595410326765	0.99575
eval	15	0.5714285714285714	0.6428571428571429	0.6050420168067226	0.53
train	16	0.9578544061302682	1.0	0.9784735812133072	0.978
eval	16	0.5930232558139535	0.9107142857142857	0.7183098591549295	0.6
train	17	0.999000499750125	0.9995	0.9992501874531368	0.99925
eval	17	0.6086956521739131	0.75	0.672	0.59
train	18	0.998989898989899	0.989	0.9939698492462311	0.994
eval	18	0.6111111111111112	0.5892857142857143	0.6	0.56
train	19	1.0	0.997	0.99849774661993	0.9985
eval	19	0.6216216216216216	0.6160714285714286	0.6188340807174888	0.575
train	20	1.0	0.999	0.9994997498749374	0.9995
eval	20	0.6083333333333333	0.6517857142857143	0.6293103448275862	0.57
train	21	0.998003992015968	1.0	0.9990009990009989	0.999
eval	21	0.5934959349593496	0.6517857142857143	0.6212765957446809	0.555
train	22	0.9852216748768473	1.0	0.9925558312655086	0.9925
eval	22	0.5899280575539568	0.7321428571428571	0.6533864541832669	0.565
train	23	0.999	0.999	0.999	0.999
eval	23	0.6015037593984962	0.7142857142857143	0.6530612244897959	0.575
train	24	0.9975024975024975	0.9985	0.9980009995002498	0.998
eval	24	0.5912408759124088	0.7232142857142857	0.6506024096385543	0.565
train	25	0.9984984984984985	0.9975	0.9979989994997498	0.998
eval	25	0.6068376068376068	0.6339285714285714	0.6200873362445415	0.565
train	26	1.0	0.999	0.9994997498749374	0.9995
eval	26	0.6031746031746031	0.6785714285714286	0.638655462184874	0.57
train	27	0.9995002498750625	1.0	0.9997500624843789	0.99975
eval	27	0.6115107913669064	0.7589285714285714	0.6772908366533864	0.595
train	28	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	28	0.6131386861313869	0.75	0.6746987951807228	0.595
train	29	0.9995002498750625	1.0	0.9997500624843789	0.99975
eval	29	0.6074074074074074	0.7321428571428571	0.6639676113360324	0.585
